Rank,Team,played,xg,xgConceded,xPoints,pts
1,Arsenal,38,77.42029988765717,28.415799921378493,81.88956467713078,89
2,Manchester City,38,81.93710008263588,35.86319976300001,80.24060869062245,91
3,Liverpool,38,89.36549982428551,46.17440016567707,76.85811988803296,82
4,Newcastle United,38,77.0761004537344,61.973000049591064,64.28294536526157,60
5,Chelsea,38,75.26539999246597,58.95609998703003,63.13442446484266,63
6,Tottenham Hotspur,38,68.95050022006035,64.55490052700043,57.17985780964021,66
7,Aston Villa,38,64.71809981390834,60.73189952969551,55.573669361025416,68
8,Brighton & Hove Albion,38,58.01629972457886,56.437599550932646,54.18015600739052,48
9,AFC Bournemouth,38,56.68980002403259,58.839299738407135,52.70079900185914,48
10,Brentford,38,59.83999985456467,56.70030012726784,52.37271153893237,39
11,Everton,38,54.89700008928776,56.072899758815765,52.01149530954731,40
12,Nottingham Forest,38,50.38799965381622,53.87770012021065,50.47067130107847,32
13,Crystal Palace,38,49.145499885082245,52.783500134944916,49.75846227783309,49
14,Fulham,38,51.55860025435686,64.25329959392548,46.507736361052785,47
15,Manchester United,38,56.930899783968925,70.08210018277168,45.21585687099804,60
16,West Ham United,38,52.918599888682365,72.15280002355576,43.03876492242179,52
17,Wolverhampton Wanderers,38,47.58250021934509,68.91810062527657,46
18,Burnley,38,40.88659989833832,71.91710042953491,33.939124985619074,24
19,Luton Town,38,43.36190006136894,79.76730012893677,32.76769379095756,26
20,Sheffield United,38,39.04750010930002,77.52489936351776,29.967069141807347,16
